SPTq,Tq,Tt,SPTs,Ts,Sr,Sa
70.0,70.20702418706047,40.015766372728216,40.0,38.46298969972196,0.0,0.0
70.0,69.62355771877034,40.01538264326815,40.0,38.460899332023374,0.0,0.0
70.0,69.04423277080829,40.014864616404445,40.0,38.458809652901564,0.0,0.0
70.0,68.46767990940468,40.01423713565461,40.0,38.45672069120935,0.0,1.0
70.0,70.37627201235817,40.01393347561751,40.0,38.45463247646438,0.0,1.0
70.0,72.25686337040926,40.0143108353333,40.0,38.45254503943759,0.0,0.0
70.0,71.63384939476931,40.01481693411621,40.0,38.45045841253683,0.0,0.0
70.0,71.02513146330843,40.015012930555926,40.0,38.448372629998765,0.0,0.0
70.0,70.42704340824895,40.01496196284169,40.0,38.44628772790347,0.0,0.0
70.0,69.83676819896408,40.0147129136819,40.0,38.444203744028016,0.0,0.0
70.0,69.25212932179598,40.014303961484146,40.0,38.44212071755685,0.0,0.0
70.0,68.67143986827135,40.013765120898846,40.0,38.44003868866851,0.0,1.0
70.0,70.57680914903102,40.01353412591675,40.0,38.437957698020135,0.0,1.0
70.0,72.45496617604525,40.01396966110802,40.0,38.43587778615295,0.0,0.0
70.0,71.83020419304029,40.01452043499714,40.0,38.433798992843755,0.0,0.0
70.0,71.22024946569944,40.01475058666114,40.0,38.43172135642932,0.0,0.0
70.0,70.62129128678336,40.01472587899785,40.0,38.42964491313251,0.0,0.0
70.0,70.0304067865716,40.01449713689469,40.0,38.42756969642072,0.0,0.0
70.0,69.44534115584663,40.01410399732523,40.0,38.42549573642904,0.0,0.0
70.0,68.86434916824467,40.01357758358223,40.0,38.42342305948263,0.0,1.0
70.0,70.76956327604658,40.013354856998674,40.0,38.42135168775414,0.0,1.0
70.0,72.64774837475231,40.01379330580142,40.0,38.419281639094194,0.0,0.0
70.0,72.0230908307573,40.01434378780379,40.0,38.417212927074154,0.0,0.0
70.0,71.4132149581851,40.01457274538818,40.0,38.41514556128187,0.0,0.0
70.0,70.81429172391607,40.014546463327555,40.0,38.41307954791212,0.0,0.0
70.0,70.22338781278553,40.01431612356205,40.0,38.41101489069397,0.0,0.0
70.0,69.6382432423522,40.013921605988024,40.0,38.40895159219703,0.0,0.0
70.0,69.0571111547164,40.013394196659675,40.0,38.40688965555776,0.0,0.0
70.0,68.47864012854888,40.012758557658394,40.0,38.40482908666483,0.0,1.0
70.0,70.38516491188948,40.012449282118816,40.0,38.402769896839004,0.0,1.0
70.0,72.26351136805481,40.0128247259985,40.0,38.400712106038405,0.0,0.0
70.0,71.63817784525902,40.01333029630285,40.0,38.398655746613045,0.0,0.0
70.0,71.02714205648142,40.013525313845086,40.0,38.396600867624095,0.0,0.0
70.0,70.42673009723288,40.0134731516739,40.0,38.39454753973267,0.0,0.0
70.0,69.83412102536198,40.01322284446305,40.0,38.39249586065028,0.0,0.0
70.0,69.24713697885323,40.01281266485952,40.0,38.39044596112835,0.0,0.0
70.0,68.6640914035562,40.01227268129813,40.0,38.38839801144778,0.0,1.0
70.0,70.56702424977988,40.012042539100435,40.0,38.38635222835125,0.0,1.0
70.0,72.44261707460657,40.012482437977205,40.0,38.38430888234187,0.0,0.0
70.0,71.81528165604172,40.013038337440875,40.0,38.38226830525166,0.0,0.0
70.0,71.20282549744861,40.01327231887121,40.0,38.380230897963486,0.0,0.0
70.0,70.60141884594562,40.01325052849487,40.0,38.37819713815055,0.0,0.0
70.0,70.00812594541165,40.01302405599705,40.0,38.3761675878797,0.0,0.0
70.0,69.42068336036729,40.012632720557754,40.0,38.374142900909035,0.0,0.0
70.0,68.83734020741193,40.012107769437726,40.0,38.372123829497426,0.0,1.0
70.0,70.7401484551669,40.011888270909445,40.0,38.37011123053479,0.0,1.0
70.0,72.61581754758681,40.01233337388693,40.0,38.36810607079728,0.0,0.0
70.0,71.98865605966256,40.01289108797002,40.0,38.366109431132095,0.0,0.0
70.0,71.3763714726551,40.01312572412791,40.0,38.36412250938258,0.0,0.0
70.0,70.77511304099144,40.0131039672814,40.0,38.362146621876214,0.0,0.0
70.0,70.18193211089374,40.01287728158783,40.0,38.36018320331517,0.0,0.0
70.0,69.59455782362365,40.01248574669472,40.0,38.358233804932816,0.0,0.0
70.0,69.01123560498749,40.011960789932026,40.0,38.35630009080762,0.0,0.0
70.0,68.4306085737739,40.01132717272683,40.0,38.35438383225931,0.0,1.0
70.0,70.33492775925832,40.011021643122,40.0,38.35248690028938,0.0,1.0
70.0,72.21095924007503,40.01140430594384,40.0,38.350611256068134,0.0,0.0
70.0,71.5833243314089,40.01191771978019,40.0,38.3487589395129,0.0,0.0
70.0,70.97008665364126,40.01211901389232,40.0,38.34693205604471,0.0,0.0
70.0,70.36755180267897,40.01207191534953,40.0,38.34513276165386,0.0,0.0
70.0,69.7728838737437,40.01182571417591,40.0,38.34336324644508,0.0,0.0
70.0,69.18389398588113,40.01141886858785,40.0,38.34162571687154,0.0,0.0
70.0,68.59888741321923,40.01088158246922,40.0,38.339922376900496,0.0,1.0
70.0,70.49981769306609,40.01065568636737,40.0,38.33825540838249,0.0,1.0
70.0,72.37330346394567,40.01110317872527,40.0,38.33662695091881,0.0,0.0
70.0,71.74387618060776,40.01166725450068,40.0,38.33503908153834,0.0,0.0
70.0,71.12942831311209,40.01190782997394,40.0,38.333493794503866,0.0,0.0
70.0,70.52611034444733,40.011891377846545,40.0,38.33199298157017,0.0,0.0
70.0,69.93097178658519,40.01166922749564,40.0,38.33053841301024,0.0,0.0
70.0,69.34173809962982,40.01128137596565,40.0,38.32913171971353,0.0,0.0
70.0,68.75664995164011,40.01075920355285,40.0,38.3277743766405,0.0,1.0
70.0,70.65767323284028,40.01054393699398,40.0,38.326467687892034,0.0,1.0
70.0,72.531453199843,40.01099653935872,40.0,38.325212773621445,0.0,0.0
70.0,71.90241430906941,40.01156235834016,40.0,38.32401055898075,0.0,0.0
70.0,71.28834819119376,40.01180357163773,40.0,38.322861765254416,0.0,0.0
70.0,70.68538604354902,40.01178714903869,40.0,38.32176690329181,0.0,0.0
70.0,70.09056545088941,40.0115647684752,40.0,38.3207262693071,0.0,0.0
70.0,69.50160494221048,40.011176672052,40.0,38.31973994307228,0.0,0.0
70.0,68.91674167898681,40.01065441178318,40.0,38.31880778848667,0.0,1.0
70.0,70.81800632420143,40.01043770866213,40.0,38.31792945646619,0.0,1.0
70.0,72.6921011360964,40.010886035307145,40.0,38.3171043900576,0.0,0.0
70.0,72.06336646518076,40.01144656967497,40.0,38.31633183164902,0.0,0.0
70.0,71.44952226692978,40.01168323993764,40.0,38.31561083211753,0.0,0.0
70.0,70.8467031436879,40.011663109370865,40.0,38.31494026172906,0.0,0.0
70.0,70.25195184683217,40.01143789447415,40.0,38.31431882258505,0.0,0.0
70.0,69.66299297643256,40.01104784047976,40.0,38.31374506239419,0.0,0.0
70.0,69.07807013173766,40.01052447995312,40.0,38.31321738933712,0.0,0.0
70.0,68.49582640723058,40.00989263737756,40.0,38.31273408778585,0.0,1.0
70.0,70.39849197714216,40.00958972691233,40.0,38.312293334638696,0.0,1.0
70.0,72.27282515517383,40.009976222682354,40.0,38.3118932160348,0.0,0.0
70.0,71.64349567540727,40.01049349327042,40.0,38.31153174421961,0.0,0.0
70.0,71.02859260846131,40.01069797680718,40.0,38.311206874343696,0.0,0.0
70.0,70.42440846763539,40.01065371299085,40.0,38.31091652099113,0.0,0.0
70.0,69.82809944764445,40.01041019752451,40.0,38.31065857425026,0.0,0.0
70.0,69.23747222858161,40.01000602110037,40.0,38.31043091515829,0.0,0.0
70.0,68.65082995582566,40.00947146959381,40.0,38.3102314303709,0.0,1.0
70.0,70.55009849972626,40.009249170981555,40.0,38.31005802592933,0.0,1.0
70.0,72.4218835751951,40.00970160039741,40.0,38.30990864001877,0.0,0.0
70.0,71.79077019346326,40.01027064443706,40.0,38.30978125463345,0.0,0.0
70.0,71.1746800251002,40.010515427312896,40.0,38.309673906085095,0.0,0.0
70.0,70.5697493553051,40.0105027331071,40.0,38.309584694312015,0.0,0.0
70.0,69.9730187130693,40.01028409719603,40.0,38.30951179096572,0.0,0.0
70.0,69.38220807079188,40.00989965075268,40.0,38.30945344627037,0.0,0.0
70.0,68.79555495658273,40.00938085878024,40.0,38.30940799466746,0.0,1.0
70.0,70.69499396457658,40.009169806776875,40.0,38.30937385927361,0.0,1.0
70.0,72.56715410038316,40.00962799920887,40.0,38.30934955519313,0.0,0.0
70.0,71.9365149826268,40.010199443693054,40.0,38.309333691739134,0.0,0.0
70.0,71.32089930300847,40.010445478772674,40.0,38.30932497362739,0.0,0.0
70.0,70.71642404836743,40.01043336896024,40.0,38.30932220121541,0.0,0.0
70.0,70.1201175274611,40.010214988996516,40.0,38.30932426986615,0.0,0.0
70.0,69.52969231980062,40.00983071098055,40.0,38.30933016852075,0.0,0.0
70.0,68.94338188997914,40.00931217091767,40.0,38.309338977567684,0.0,1.0
70.0,70.84318390612944,40.009099969601394,40.0,38.30934986609789,0.0,1.0
70.0,72.71578219339345,40.00955416055245,40.0,38.30936208863515,0.0,0.0
70.0,72.08557166743077,40.01012060393052,40.0,38.30937498142995,0.0,0.0
70.0,71.47030401098388,40.01036237618065,40.0,38.30938795840254,0.0,0.0
70.0,70.86610025576515,40.010346811303044,40.0,38.3094005068171,0.0,0.0
70.0,70.26999409414515,40.010125808377175,40.0,38.30941218276437,0.0,0.0
70.0,69.67970412694568,40.009739734950905,40.0,38.30942260652458,0.0,0.0
70.0,69.09347004267688,40.009220204293754,40.0,38.30943145787627,0.0,0.0
70.0,68.509932452546,40.00859209270229,40.0,38.30943847141001,0.0,1.0
70.0,70.41128857206382,40.00829368198104,40.0,38.30944343189904,0.0,1.0
70.0,72.28427694750393,40.00868605258729,40.0,38.309446169771704,0.0,0.0
70.0,71.65362103949397,40.00920928795496,40.0,38.30944655672346,0.0,0.0
70.0,71.03744263169317,40.00941895884634,40.0,38.30944450149932,0.0,0.0
70.0,70.43202201752324,40.00937933899518,40.0,38.309439945871006,0.0,0.0
70.0,69.83450701283572,40.00914008464421,40.0,38.30943286082674,0.0,0.0
70.0,69.24269855619332,40.00873989635957,40.0,38.30942324298624,0.0,0.0
70.0,68.65489587737969,40.008209134582145,40.0,38.309411111248195,0.0,1.0
70.0,70.55299091184119,40.00799130302483,40.0,38.309396503673184,0.0,1.0
70.0,72.42356796882886,40.008449511393806,40.0,38.309379474601535,0.0,0.0
70.0,71.79126329471255,40.0090244274736,40.0,38.309360092002265,0.0,0.0
70.0,71.17403070498533,40.0092743286821,40.0,38.30933843504731,0.0,0.0
70.0,70.56799511105419,40.00926621169747,40.0,38.309314591903295,0.0,0.0
70.0,69.97018913620352,40.00905175901415,40.0,38.309288657732196,0.0,0.0
70.0,69.37832723999745,40.00867120370206,40.0,38.309260732891374,0.0,0.0
70.0,68.79064310551412,40.008156081045236,40.0,38.309230921323476,0.0,1.0
70.0,70.68903771522287,40.00794933614873,40.0,38.309199329126585,0.0,1.0
70.0,72.56011792175222,40.008413119781906,40.0,38.309166063295365,0.0,0.0
70.0,71.92841255093896,40.00899027833308,40.0,38.30913123062426,0.0,0.0
70.0,71.3117762513924,40.00924131684374,40.0,38.30909493676437,0.0,0.0
70.0,70.7063157849388,40.00923368576614,40.0,38.30905728542576,0.0,0.0
70.0,70.10905223943676,40.00901939000008,40.0,38.30901837771753,0.0,0.0
70.0,69.51769306238998,40.008638893102095,40.0,38.308978311617764,0.0,0.0
70.0,68.9304680559292,40.00812389531978,40.0,38.30893718156573,0.0,1.0
70.0,70.82934170648566,40.007915839762944,40.0,38.30889507816826,0.0,1.0
70.0,72.70097511242577,40.008375434730766,40.0,38.308852088011896,0.0,0.0
70.0,72.06981054347895,40.00894743154344,40.0,38.30880829357187,0.0,0.0
70.0,71.4536314432888,40.009194085778624,40.0,38.308763773208305,0.0,0.0
70.0,70.84854966822174,40.009182893262015,40.0,38.30871860123919,0.0,0.0
70.0,70.25159231605069,40.008965867958324,40.0,38.30867284807918,0.0,0.0
70.0,69.66047320522955,40.00858345952298,40.0,38.308626580432346,0.0,0.0
70.0,69.07342853145829,40.00806734010288,40.0,38.30857986152662,0.0,0.0
70.0,68.48909634061336,40.00744242820225,40.0,38.30853275137727,0.0,1.0
70.0,70.38964137511964,40.0071478292132,40.0,38.30848530706655,0.0,1.0
70.0,72.26177882538411,40.00754529368516,40.0,38.308437583026794,0.0,0.0
70.0,71.6302784869145,40.008073832891505,40.0,38.308389631314824,0.0,0.0
70.0,71.01329461243067,40.00828818987491,40.0,38.3083415018661,0.0,0.0
70.0,70.4070996497659,40.00825277041444,40.0,38.30829324271826,0.0,0.0
70.0,70.4070996497659,40.00825277041444,40.0,38.30829324271826,0.0,0.0
70.0,69.80883562834633,40.00801735806013,40.0,38.30523996990777,0.0,0.0
70.0,69.21599782883915,40.0078523213377,40.0,38.302187368675845,0.0,0.0
70.0,68.62931412217354,40.00773495248402,40.0,38.29913545874781,0.0,1.0
70.0,70.53258829826552,40.00806343599973,40.0,38.29608425932006,0.0,1.0
70.0,72.41421522192782,40.00915414537458,40.0,38.29303378906228,0.0,0.0
70.0,71.79972070501617,40.01042083733687,40.0,38.28998406610818,0.0,0.0
70.0,71.20713896663224,40.01141271666334,40.0,38.28693510803499,0.0,0.0
70.0,70.63288887288864,40.01218135613858,40.0,38.28388693183225,0.0,0.0
70.0,70.07413110847693,40.01276630443179,40.0,38.28083955386097,0.0,0.0
70.0,69.52858347400382,40.01319827293577,40.0,38.27779298980407,0.0,0.0
70.0,68.99438863052164,40.01350138411465,40.0,38.27474725460957,0.0,1.0
70.0,70.95508922810608,40.01406717997986,40.0,38.27170236242813,0.0,1.0
70.0,72.8989218701437,40.01520257138379,40.0,38.2686583265465,0.0,0.0
70.0,72.34738750202078,40.01640830648729,40.0,38.26561515931896,0.0,0.0
70.0,71.81555134187539,40.01730293895619,40.0,38.2625728720985,0.0,0.0
70.0,71.29960304560329,40.01794567770076,40.0,38.25953147516988,0.0,0.0
70.0,70.79654616675292,40.01838253006525,40.0,38.25649097768649,0.0,0.0
70.0,70.30399812647116,40.01864969081289,40.0,38.25345138761303,0.0,0.0
70.0,69.82004656493423,40.018775941189645,40.0,38.25041271167585,0.0,0.0
70.0,69.34314425333972,40.01878437930159,40.0,38.2473749553227,0.0,0.0
70.0,68.87203091737646,40.018693689542644,40.0,38.244338122693534,0.0,1.0
70.0,70.89236311163454,40.0188510345291,40.0,38.241302216603664,0.0,1.0
70.0,72.89352597663094,40.019538300837645,40.0,38.238267238540416,0.0,0.0
70.0,72.3946802178308,40.02031574516923,40.0,38.235233188674194,0.0,0.0
70.0,71.90978653757347,40.02083639152878,40.0,38.23220006588446,0.0,0.0
70.0,71.43589486559428,40.021147901908414,40.0,38.229167867800996,0.0,0.0
70.0,70.97067020308914,40.02128803750643,40.0,38.22613659086026,0.0,0.0
70.0,70.51225053641714,40.02128701336426,40.0,38.22310623037659,0.0,0.0
70.0,70.05914248170508,40.02116920513725,40.0,38.22007678062747,0.0,0.0
70.0,69.61014327951781,40.02095440911306,40.0,38.21704823495194,0.0,0.0
70.0,69.1642815511124,40.02065878812428,40.0,38.21402058586073,0.0,0.0
70.0,68.72077165574191,40.02029559258146,40.0,38.21099382515676,0.0,1.0
70.0,70.76632558144584,40.02019128467742,40.0,38.207967944064,0.0,1.0
70.0,72.79088829894819,40.02061713820403,40.0,38.204942933362865,0.0,0.0
70.0,72.31279787186749,40.02115599116826,40.0,38.201918783529884,0.0,0.0
70.0,71.8457481113415,40.021471741827675,40.0,38.19889548487941,0.0,0.0
70.0,71.38725905680906,40.02160547776979,40.0,38.19587302770502,0.0,0.0
70.0,70.93536268097117,40.0215900510175,40.0,38.192851402418206,0.0,0.0
70.0,70.48848894898299,40.02145194580451,40.0,38.18983059968206,0.0,0.0
70.0,70.04538093487737,40.02121265342152,40.0,38.1868106105376,0.0,0.0
70.0,69.60503051505053,40.02088970240512,40.0,38.183791426520656,0.0,0.0
70.0,69.16662891038341,40.02049744312783,40.0,38.180773039767274,0.0,0.0
70.0,68.72952813400218,40.02004765421451,40.0,38.177755443105845,0.0,1.0
70.0,70.78071768592935,40.01986168577877,40.0,38.174738630134506,0.0,1.0
70.0,72.81028774112374,40.02020840554928,40.0,38.17172259528241,0.0,0.0
70.0,72.33640030315627,40.020675795762585,40.0,38.16870733385407,0.0,0.0
70.0,71.87271520511463,40.0209298629961,40.0,38.165692842056,0.0,0.0
70.0,71.41688154843409,40.02100998667269,40.0,38.16267911700549,0.0,0.0
70.0,70.96703432297726,40.02094771215164,40.0,38.159666156721485,0.0,0.0
70.0,70.5216872658117,40.02076850389791,40.0,38.15665396009808,0.0,0.0
70.0,70.07965272038916,40.02049304187719,40.0,38.153642526861276,0.0,0.0
70.0,69.63998069307775,40.02013819726937,40.0,38.15063185751013,0.0,0.0
70.0,69.20191181754397,40.019717778736535,40.0,38.14762195324373,0.0,0.0
70.0,68.76484057391582,40.01924311154956,40.0,38.1446128158756,0.0,1.0
70.0,70.81579660884645,40.019035160774486,40.0,38.141604447737414,0.0,1.0
